act_tag,speaker,pos,text
ad,A,Go/VB ahead/RB ./.,<Laughter> Go ahead. /
qh,A,"So/UH Ken/NNP ,/, how/WRB do/VBP you/PRP do/VB your/PRP$ family/NN budget/NN ?/.","{D So } Ken, how do you do your family budget? /"
sd,B,"Well/UH ,/, we/PRP do/VBP n't/RB actually/RB have/VB a/DT budget/NN ,/, budget/NN per/FW se/FW ./.","{D Well, } we don't actually have a [ budget, + budget ] per se. /"
sd,B,"What/WP we/PRP do/VBP is/VBZ ,/, uh/UH ,/, maintain/VB a/DT normal/JJ checkbook/NN ./. You/PRP know/VBP ,/, like/IN ,/,","What we do is, {F uh, } maintain a normal checkbook. {D You know, } like,"
b,A,Huh-uh/UH ./.,Huh-uh. /
+,B,"everyone/NN in/IN the/DT world/NN does/VBZ ,/, I/PRP guess/VBP ,/,","everyone in the world does, I guess, /"
sd,B,"and/CC occasionally/RB it/PRP actually/RB balances/VBZ ,/, ./.","{C and } occasionally it actually balances, <laughter>. /"
sd,B,"And/CC ,/, um/UH ,/, we/PRP also/RB ,/, we/PRP ,/, um/UH ,/, we/PRP have/VBP a/DT ,/, a/DT U/NNP S/NNP Air/NNP and/CC Visa/NNP card/NN ./.","{C And, } {F um, } [ [ we also, + we, ] + {F um, } we ] have [ a, + a ] U S Air and Visa card. /"
b,A,Huh-uh/UH ./.,Huh-uh. /
sd,B,"Every/DT ,/, every/DT dollar/NN we/PRP ,/, every/DT dollar/NN we/PRP charge/VBP is/VBZ a/DT mile/NN for/IN our/PRP$ frequent/JJ flier/NN mileage/NN ./.","[ [ Every, + every ] dollar we, + every dollar we ] charge is a mile for our frequent flier mileage. /"
b,A,"Oh/UH ,/, yeah/UH ./.","{F Oh, } yeah. /"
sd,B,"It/PRP 's/BES a/DT real/RB good/JJ deal/NN actually/RB ,/, if/IN you/PRP charge/VBP a/DT lot/NN ./.","It's a real good deal actually, if you charge a lot. /"
sd,B,"So/RB what/WP we/PRP ,/, what/WP my/PRP$ wife/NN and/CC I/PRP have/VBP taken/VBN to/IN doing/VBG is/VBZ charging/VBG everything/NN in/IN sight/NN ./.","{C So } [ what we, + what ] my wife and I have taken to doing is charging everything in sight. /"
sd,B,"Anything/NN we/PRP buy/VBP ,/, we/PRP charge/VBP ,/, including/VBG groceries/NNS and/CC so/RB forth/RB ./.","Anything we buy, we charge, including groceries and so forth. /"
b,A,Huh-uh/UH ./.,Huh-uh. /
